text	label
재미있고 신선하군 흠	1
인생은 경마장의 경주 마 같다고 꿈같이 지나가는 시간이기에 가장 가치 있는 것을 하라고 본인은 의미 없는 고급 매춘부 시간을 썻다고	1
엄청난 감동	1
이떄까지만 해도 몸 발란스가 괜찮았는데	1
그 시 대치고는	1
영화관에서 봤는데 완전 별로	0
연기의 끝을 보았다	1
아무것도 없다	0
줄리엣 비노쉬를 믿고 보았습니다	1
원어는 공개하지 않고 더빙 버전으로만 개봉 자막 버전도 러시아어가 아닌 영어 더빙 번역 없이 임의 로 대사 만들고 크레딧에 뮤직비디오를 임의로 넣지를 않나 원작을 심각하게 훼손한 채 아동용으로 만들어 극장 상영 대량의 알바 동원한 평점 조작까지	0
007을 벡터맨으로 만들기엔 좀 그랬다	0
많이 들 보셨으면	1
사라진 긴장감 시끄럽기만 한 음향 어설픈 액션 아침 드라마 같은 스토리다	0
일단 지 루 해 요	0
뻔하지 않은 내용도 신선하고 배경음악도 넘 좋아요 ㅋㅋㅋ	1
실화에서의 장미정 씨는 분명 외교통상부로부터 통역 지원 등 많은 도움을 받았고 영화에서처럼 의 인권 침해도 없었다	0
어떻게 연기자가 연기를 못하냐 내용 유치한 것도 매력이라 치지만 좀 너무 유아틱하다	0
정치란 피 흘리지 않는 전쟁이며 전쟁이란 피 흘리는 정치다	1
1편도 별로 더 만 2편이 어떻게 나왔는지 이해가 안 됨	0
31살 인생에 최고의 영화입니다	1
동생한테 안부전화하게 하는 심리는 인정	0
너무 평점 낮네	1
전 순금이가 잘 돼었으면 좋겠어요	0
돈과 국경을 넘어서까지 이어지는 이네들의 진심을 확인할 수 있기 때문이 아닐까	1
1점대 찍자	0
이를 어쩌 누	0
맞춤정장을 입어보고 싶다는 충동을 느낌	1
솔직히 이렇게 미소 짓게 만드는 영화 오랜만에 봐서 기 분 좋은데	1
최루성 쓰레기 영화 보는 내내 진절머리나 고 혐오스럽다	0
여배우 목소리 쉣이네	0
투견이 전직 교수 및 게릴라거지의 모든 개를 처치하고 모델의 개는 쥐한테 뜯긴다	1
레알 졸작 감독 나쁜 새키	1
평점에 속았네 ㅠ	0
감동이라던데 보니까 별로 뭉클하지도 않음	0
두 대표 섹시 배우가 모였는데도 그리 섹시하지 않는다 한마디로 실패작	0
2003년 돈가	1
주리 때문에 참고 봤는데 일본 특유의 미를 참을 수 없다	0
진짜 짱짱 영화 ㅠㅠㅠ 개명작 크리스마스를 믿었던 때로 돌아가고 싶다	1
딸보단 아빠한테 문제가 있는 거 아닌가 ㅋㅋ	0
세계의 모든 독단과 광신은 개인적 실리에서 출발한다	0
멋지고 예쁘다	1
간단 명료하게 깊이가 없다	0
라곤 광개토태왕 밖에 안 봅니다	1
시걸형님 이건 아니잖아요	0
가브와 메이 이런 칭구들 있었음	1
카메라 연출 감독의 발성만 좋았다면 좋은 실험 작품이 되었을 텐데	0
맥컬리 컬킨 조페시 다니엘 스턴 이 조합은 진짜 전설은 아니고 레전드	1
안 봐도 뻔하다	0
메시지가 아닌 야 한 걸 기대하고 본 사람이 많았나	1
특히 마지막 장면은 충격	1
갈수록 3류 액션영화로 변질된다	0
아무 기대 안 하고 봣는데 진짜 감동적이고 춤도 너무 잘 추고 노래도 너무 좋고 다 너무 좋다	1
절대 몽골은 중국의 역사가 아닌 것을	1
존경할 수 밖에 없다	1
소재가 인형이라 독특하면서도 예뻤음	1
완전 쓰레기 보는 내내 지루하고 절대 보지 마세요	0
현실적이려던 천재 영화 감동으로 흘렀구나	1
뻔한 주제를 식상한 방식으로 불필요한 선정성을 동원해 만든 상업영화임 소설 고래를 쓴 천명관 소설가의 시나리오라니 믿기 힘듦 척 하는 이런 영화보다 차라리 헐리웃 블록버스터가 오히려 더 순수함	0
솔직히 파프리카는 뭔 뜻인지도 모르겟 고 그냥 존 나이상함 퍼펙트 블루급은 아님	0
기어 5단 넣고 다니다 사고 난다	0
엄 앞에 본 이라는 글자를 빼는 것이 제레미가 분명 멋진 연기자인 것은 맞는데	0
워킹 데드 볼래	0
1점도 아깝다 오글거려서 이건 뭐 알바들 진짜 불쌍타	0
배우들도 그냥 소름입니다 시간 버리지 마세요	0
굵직한 느와 르 완성도 고 스토리고 뭐고 다 접어두고 그냥 느낌이 좋네요	1
단 1분 잘 만들었다	1
뭘 말하고 싶은 게냐	0
오랜만에 소름 돋는 영화를 봤네	1
그리고 좀 어수선한 느낌	0
억지 재미 억지 감동 영화가 빨리 끝나기만 기 다렸다	0
비쥬얼도 오디오도 없이 그냥 웃 기려만 하는 것이 조금 싱겁다	0
개봉일이 협녀가 늦었을 뿐 그리고 이 영화는 총체적 난국이라 전도 연도 발 연기로 보일 정도	0
로맨스 전쟁 적절히 조화됐네요	1
짱웃긴데 왜 점수가 이렇게 박하지 ㅠㅠ	1
나에겐 낯선 방식의 영화	0
금지된 춤과 더불어 람 바다 열풍을 몰고 왔지만 금지된 춤 보다는 재미가 떨어지고 관객 수도 밀리고	0
짱 꼴라 영화 솜씨는 언제쯤 좋아지려나	0
말이 필요 없는 최고의 애니 라구요	1
노력을 안 하는 듯 캐릭터가 모든 영화에서 보면 거기서 거기인 듯	0
처음 부분은 놓쳐서 못 봤지만 중간 부분 부토 핬는데도 몰입감 쩔 게 잘 봄ㅠㅠㅜ	1
곱씹을수록 단물이 나오는 영화 스토리가 탄탄하고 정말 재미있게 잘 봤음	1
브랜든 리가 살아 있다면 평가는 어떻게 달라졌을까	0
보는데 5분 걸림 ㅋㅋ 노잼	0
엑스맨 행크가 생각나서 그나마 1점 줌	0
태양빛과 문을 잡은 앙각 촬영 기법과 비주얼이 돋보인 영화 말하지 않아도	1
쓰래기 영화	0
아이들과 함께 보기 좋은 영화입니다	1
왜 만 들 었 을 까 연기력도 꽝 동네 워크샵 작품인 듯	0
여주 연기가 예전에 비해 하나도 달라진 게 없네요	0
청춘은 무엇인가 돌아보게 된 드라마다	1
잔잔하고 현실적이고 연기도 너무 잘하고	1
아무리 옛날 영화라지만	0
좋다 좋다 좋다 좋다 좋다	1
앞으로 놓치지 않을께요	1
새로운 것을 찾지 말고 있는 것에서 새로운 것을 찾아보자	1
우리 집도 가난해서 백도 없고 좌절도 많았지만 난 부모님을 원망한 적은 한 번도 없었다	0
정말 시리도록 아프지만 또 정말 시리도록 멋진 영화다	1
여주인공 외모 빼곤 볼 게 없다	0
몇 년 전에 본 영화 지금 봐도 감동 감동 감동 너무 사랑스러운 영화 이 영화 50번은 넘게 본 듯	1
아기 엄마라면 눈물이 마르지 않을 영화 실화라서 더 가슴 아프지만 필로 미나의 용서로 아픈 마음이 치유가 된다	1
짱이 보영 언니 연기 진짜 잘해요	1
배우 분들 너무 훈훈	1
이건 뭐 공포도 없고 개연성도 없고	0
조심스럽게 최고라고 말하고 싶다	1
나는 별로 재미 없음	0
역대 최악의 영화	0
씨 알 자꾸 주먹에 힘이 쓰레기들	0
결말도 쵝 오 ㅋㅋ	1
처음엔 긴장감 있게 잘 끌고 가는 가 싶었는데 후반부 마무리가 왜 이런 건지	0
돌팔이에게 수술 받지 말자	0
터프한 맥라이언 진짜 너무 이뻐서	1
