text	label
설치했는데 깔끔해요	1
딥 그린 샀는데 어설픈 카키색이 왔음	0
효과는 그닥입니다	0
뽕팬티는 역시 효과 없음	0
포장은 꼼꼼하게 잘 왔고 배송도 빨랐어요	0
벌써 ㅎ	1
사진하고 같아요	1
나이드수록 음식을 골라서 먹게 되네요	0
담엔 튜브로 된 것만 사야겠어요	0
헤라 미스트 쿠션이랑 호환되요	1
리뷰 보고 맛있다고 구매 했늨데 ㅠㅠ 실망	0
생각보다 허 접함	0
필요한 다음날 와서 집에서 하나 해보니 불이 확 붙여져서 너무 빨리 분리되는 게 아쉽지만 한 번 이벤트식으로는 분위기 전환될 듯요	0
배송은 빠른 데 제품 마감이 별로네요	0
엄청 좋거나 나쁘다는 생각 없이 괜잖아요	1
생각보다 빠른 배송이었구요	1
이불 속에 넣는 솜 같아 요 ㅠㅠ	0
100명 중에 2명 정도 깨지는 거고 책임 없다	0
딸 바우유로 마시면 정말 맛 있었어요	1
생각보다 너무 작기도 하고 뒤에 글루 건 거미줄 ㅎㅎ	0
다수가 번져 있어요	0
배송도 빠르고 너무 깔끔했어요	1
주소도 잘못 적어 보내고 택배 아저씨는 되려 화내고 업체는 미안하다 그랬음 된 거 아니냐고 적반하장에 박스 눈 더 찢어져서 오고 배송된 집 주인 분이 전화 안 해주셨음 분실인데 참 여기 최악이예요	0
가격 대비 만족 합니다	0
전에 비비오에서 샀던 거랑 다르게 발이 아주 불편해 여ㅜ 먼 가 엄청 싸구려가 된 느 김 ㅜㅜ 앞꿈치 닿는 곳이 바닥이 느 꺄쟈요 ㅜㅜㅜ	0
차라리 너뷰트 보고 걍 맨몸 스트레칭이 나아요	0
가볍게 먹기 좋습니다	1
신행 준비하며 구매했어요	1
작업할 때 쓸려고 샀는데 취소도 안 되고 전화하기도 귀찮고 해서 걍 기다렸다 씁니다	0
화면이랑 다른데	0
지인이 스테인레스 냄비에 사용했다가 눌러 붙었다고 하네요 ㅠㅠ	0
배송도 빠르고 제품도 안전하게 왔네요	1
가성비 좋은 상품이에요	1
가성비 쩌는 차량용 휴대폰 거치대임	1
나사가 들어가야 하는 나선형 홈이 다 달아져서 나사가 끼워지지 않습니다 ㅠㅠ	0
두 개 시 켯는데 무늬가 안 맞아서 쫌 속상하지만 이 뿌네요 ㅋㅋ	1
배송도 빠르고 촉촉해요	1
일단 얇아 요 유기농 이니 순하니 이런 건 모르겠고 아	0
안에 이렇게 더러워 여 원래 그런 거냐고 물어봐도 대답도 없네 여 다시는 구매 안 할 듯	0
생각보다 크기가 커요	1
춥다 하네요 ㅠㅠ	0
물 빠지는 곳이 있었음	1
잘 안 보이고 아프고 염증 감염돼요	0
참 원래 3일밖에 못 쓰는 거면 구매하지 않았을 텐데	0
재구매 잘 받았습니다 한번 구매할 때 수량이 조금 더 많았으면 좋겠어요	1
탈모 예방하는 거 맞나요	0
재구매 늘 이용하는 건데 배송에 실망 ㅠㅠ	0
자주 구입해 요 굿굿	1
비타인은 아예 입자가 없고 쌀알만 중기 1단계 입자 수준이네요	1
그냥 5000원 같음	0
그리고 색상이 화이트 하나 인 것도 아쉬워요	0
그래서 첫 사용하고 그다음부터 쓰지 않고 있네요	0
배송 빠르고요 석박진 아직 안 먹어보고 김친 맛 잇는데 좀 짜요	1
저 157에 40 키론데도 너므 아파요 ㅜㅜ	0
잘 쓸게요 사진 찍을 때 겸사 겸사 잘 이용할 것 같아요	1
주문하고 받기까지 9일 걸렸어요 ㅠ	0
드롱기 제품에 사용 중인데 더블샷 뽑을 때 지름이 딱 맞아서 아슬아슬 합니다	1
마감 처리가 아쉽습니다	0
신뢰갑니다 시험 결과서 첨부와 제품의 사용 결과가 매우 만족합니다	1
옥수수 삶으니깐 캔 옥수수 먹는 느낌 찰진 거 하나도 없고 달기만 달았어요	0
하지만 기능에서는 아주 좋네요	1
올 겨울 촉촉하고 향기롭게 잘 쓸게요	1
포장도 좋고	1
사이즈 좋고 색상 좋고 배송도 빠르고 굿 입니다	1
매번 구입하기 번거로워 하셔서 대량으로 구매했어요	1
제 입맛에 기대한 것보단 그저 그랬네요	0
그렇게 크다는 느낌은 많지 않고 약간 자연스럽게 넉넉한 느낌	1
배송은 만족스러웠지만 사용해 보니 생각보다 성능이 별로인 듯합니다	0
소재도 탄탄하고 좋으네요	1
다만 모두 접었을 때 걸리는 부분이 없어 팔에 우산 끈을 끼면 밑으로 단이 주르륵 풀려버립니다	1
따뜻하고 미끄럽지 않아요	1
미니백 숄더끈하고 롱끈 주문했는데 기대 이상 좋아요	1
코로나 19로 새로운 취미생활 생겼네요	1
피스도 주시고 감사합니다	1
허접한 ㅠ	0
두 개 구매했는데 하나도 못씀	0
사진으론 커 보이네요 ㅋㅋ	0
저렴하지만 마간이 넘 안 좋고 잘 부서져요	0
제품 받자마자 세척하고 군 고구마해 먹을려고 돌렸는데 고무 플라스틱 비슷한 냄새만 남 고구가 굽는 냄새는 안 남 이 거 새 제품이라서 이런 건지 계속 이러는 건지 아는 분 어제 다크 워터스 영화 봤는데 아 진심 먹기 꺼려지고 있습니다 ㅠㅠ	0
산지 조금 시간이 지 낫지만 배송이 빨리 만족합니다	1
맛나게 잘 먹을께용	1
제대로 알아보지 못하고 사서 다시 사야 할 듯요	0
기분이 상하긴 하네요	0
기능만큼이나 품질도 우수	1
타사 방석만 쓰고 있었는데 허리가 조금 불편해서 구매했는데 정말 편하네요	1
사진 공유합니다	0
발송 빨리 해주셨는데 택배사에서 하루 더 결렸네요	1
자세히 보시면 비닐 안쪽에 끼어 있어요ㅜ 제가 한 거 아님 누가 반품 한 건지 중국산이라 그런 건지 알 수가 없네요	0
마른 편인데 엠사이즈가 20주 되니 답답하네요ㅠ	0
